,etf动量改,中证1000增强,中证2000增强,中证800增强,养殖etf增强,军工etf增强,创业板300ETF增强,创业板增强,动量趋势策略,化工ETF优选策略,医疗etf增强,半导体优选策略,双创50增强,国企etf增强,国证2000ETF增强,均衡持仓,形态识别,成长红利量化选股,房地产etf增强,旅游etf增强,朝花夕拾策略,机器人ETF优选策略,杠铃,沪深300增强策略,游戏etf增强,煤炭周期优选动态轮动策略,申万动量,科创参数加强板,综合全,综合拆分1,综合拆分2,行业etf增强,计算机ETF优选策略,通信etf增强,酒etf增强,锤子策略,食品etf增强
Account_A,0.39442864,0.35994908,0.6505121,0.52419156,0.48040897,0.414215,0.2394475,0.2516645,0.24113362,0.09579521,0.009280755,0.29143742,0.30932024,0.9495308,0.29216677,0.64600503,0.512729,0.9435894,0.04852745,0.8784473,0.28673175,0.33432075,0.878293,0.4155998,0.45856425,-0.41447267,0.9923107,0.23342274,0.16381353,0.27787238,0.108347006,0.21384439,0.19732542,0.21769255,0.96789515,0.98663074,0.4638849
Account_B,0.64571834,0.188038,0.4419447,0.5908987,-0.29313555,0.9698468,0.68655163,-0.15872602,0.99698675,0.97525847,-0.44212765,0.9781838,0.98848814,0.18360308,0.8119484,0.400753,0.45336008,0.5305643,-0.37908676,0.013729077,0.9917931,-0.23541753,0.6649593,0.9745971,0.7979527,-0.7090164,0.2828277,0.7113324,0.9884634,0.9930807,0.9811215,0.9920414,-0.16466011,-0.19300358,0.22818375,0.28089947,0.02462396
Account_C,0.65878457,0.17754553,0.4787346,0.602294,-0.30447313,0.9744068,0.68350977,-0.16900654,0.99711746,0.97269434,-0.46341392,0.9845424,0.9938839,0.21509832,0.8302863,0.385709,0.50307995,0.5688667,-0.39856228,0.041410215,0.9997026,-0.22691494,0.69605494,0.98217076,0.8171693,-0.70785046,0.32056928,0.71842974,0.9894969,0.9994443,0.9799794,0.99506176,-0.18875977,-0.20935549,0.27305406,0.32287976,0.022390528
