epoch,train_loss,val_loss,val_acc
1,0.3938726910523006,0.3829730749130249,0.55
2,0.3719963048185621,0.3205953687429428,0.635
3,0.3065332131726401,0.2858499139547348,0.665
4,0.2280563818556922,0.2016821652650833,0.775
5,0.2039461668048586,0.20147863775491714,0.77
6,0.39100225056920734,0.2112492099404335,0.775
7,0.3710989143167223,0.2176976278424263,0.745
8,0.35692818249974934,0.2175634652376175,0.785
9,0.34124892950057983,0.2455187514424324,0.725
10,0.313830418246133,0.23495522886514664,0.73
11,0.31559230174337116,0.208827905356884,0.755
12,0.30182153838021414,0.21259993314743042,0.75
13,0.29530027508735657,0.19418882578611374,0.755
14,0.2870308884552547,0.18388840556144714,0.785
15,0.28137284943035673,0.1950870230793953,0.77
16,0.30079637254987446,0.2058732733130455,0.765
17,0.2929248639515468,0.23065818846225739,0.765
18,0.2760763849530901,0.2168932631611824,0.745
19,0.2803855964115688,0.24879182875156403,0.705
20,0.3055010118654796,0.2507247254252434,0.68
21,0.2994014961378915,0.20639218389987946,0.755
22,0.2900523692369461,0.2173711210489273,0.745
23,0.27758597901889254,0.22192694246768951,0.73
24,0.27541543543338776,0.18375376611948013,0.805
25,0.2681521624326706,0.19125672429800034,0.79
26,0.2871741269315992,0.20001938939094543,0.785
27,0.2747551202774048,0.1955929771065712,0.81
28,0.2705081637416567,0.2016782984137535,0.81
29,0.24792414265019552,0.24312539398670197,0.765
30,0.26159603680883137,0.20666716992855072,0.815
31,0.2636070613350187,0.2086225524544716,0.765
32,0.25004367317472187,0.19508441537618637,0.83
33,0.25706225420747486,0.19155433773994446,0.815
34,0.24289678037166595,0.2192658632993698,0.755
35,0.243862298982484,0.2004540115594864,0.85
36,0.23853155757699693,0.1994529590010643,0.79
37,0.2374071329832077,0.19520988315343857,0.805
38,0.2358155825308391,0.18325238674879074,0.8
39,0.2560500183275768,0.20446304231882095,0.805
40,0.21082865127495357,0.1819974109530449,0.745
41,0.2517893931695393,0.19034522026777267,0.795
42,0.2289401569536754,0.20734064280986786,0.795
43,0.23122057957308634,0.1960214078426361,0.805
44,0.24117945347513473,0.18373340368270874,0.835
45,0.22327632350581034,0.21992496401071548,0.78
46,0.23052785013403213,0.1839752346277237,0.84
47,0.20798609725066594,0.19086019694805145,0.81
48,0.20041434253965104,0.212404303252697,0.78
49,0.19820057707173483,0.22455177456140518,0.785
50,0.19276913787637437,0.210786372423172,0.77
51,0.24089693810258592,0.158551424741745,0.84
52,0.24591055938175746,0.2052498459815979,0.78
53,0.23984921191419875,0.20650218427181244,0.765
54,0.2251010239124298,0.2380431443452835,0.77
55,0.2210529042141778,0.2033781111240387,0.8
56,0.23412883707455226,0.20828285068273544,0.815
57,0.22435846286160605,0.2022870108485222,0.785
58,0.22737301460334233,0.200525663793087,0.8
59,0.21232793160847255,0.2028753086924553,0.775
60,0.21567140519618988,0.17889713495969772,0.84
61,0.24317267537117004,0.2090744972229004,0.78
62,0.23268414182322367,0.1775679737329483,0.81
63,0.222903915813991,0.19868799299001694,0.84
64,0.21854985186031886,0.18889837712049484,0.845
65,0.21490960036005294,0.1907154768705368,0.825
66,0.22367333940097264,0.18213589489459991,0.86
67,0.20654270265783584,0.19629103690385818,0.82
68,0.1987363717385701,0.22304526716470718,0.805
69,0.18451414576598577,0.19609645009040833,0.86
70,0.17984033482415335,0.19368859380483627,0.835
71,0.2345513552427292,0.21717828512191772,0.795
72,0.2300946159022195,0.20264313369989395,0.855
73,0.21335358917713165,0.20131193846464157,0.815
74,0.21747425837176187,0.20424677431583405,0.8
75,0.20138557255268097,0.20121289044618607,0.86
76,0.18181055784225464,0.18219345808029175,0.82
77,0.177865845816476,0.1939426138997078,0.87
78,0.17864038263048446,0.20462115854024887,0.84
79,0.1871063538960048,0.19941560178995132,0.845
80,0.17135795950889587,0.21859236806631088,0.81
81,0.22245374747685023,0.18385916203260422,0.87
