name,turnover,holding_period_days,concentration_hhi,buy_sell_symmetry,volatility_pref,ind_交通运输,ind_传媒,ind_公用事业,ind_农林牧渔,ind_化工,ind_医药生物,ind_商贸零售,ind_国防军工,ind_基础化工,ind_家用电器,ind_建筑材料,ind_建筑装饰,ind_房地产,ind_有色金属,ind_机械设备,ind_汽车,ind_煤炭,ind_环保,ind_电力设备,ind_电子,ind_石油石化,ind_社会服务,ind_纺织服饰,ind_综合,ind_美容护理,ind_计算机,ind_轻工制造,ind_通信,ind_钢铁,ind_银行,ind_非银金融,ind_食品饮料
etf动量改,21.415516864578716,16.118570433214476,0.534757981286863,0.49985839678074623,0.11543196243621252,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,0.21526683622703205,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,0.17650002160925457,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,0.16614204279268877,0.2119206669640948,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,1.192411561402372e-07,0.16958659220823247,0.060580739928637745,1.192411561402372e-07
中证1000增强,17.34035757092227,13.601838661689948,0.07062912703794538,0.4994551258490461,0.09327723533629957,0.014818275571612376,0.053474011519717174,0.012930443801105926,0.008709431199057345,6.993077999384397e-09,0.0832233915194488,0.030451674555827236,0.03322282029269632,0.03323348597836169,6.993077999384397e-09,0.02162521519706125,0.02238485770781924,0.031165678603369287,0.048779462003107905,0.027489422313614936,0.0262139966864625,6.993077999384397e-09,0.004220754042736814,0.12604868138296935,0.17137667663147277,0.020441824431858595,0.011876908265566737,0.014165065398741638,6.993077999384397e-09,6.993077999384397e-09,0.14969946396979628,0.0029285337013477443,0.045956329635498505,6.993077999384397e-09,6.993077999384397e-09,0.0036610559460948777,0.0019024906931087025
中证2000增强,20.455760805828323,12.642541961170474,0.06997911242704898,0.5019167576030182,0.10430369143219714,1.023601886142512e-08,0.022221936416586808,0.015789550530961042,0.03700910448990711,1.023601886142512e-08,0.15929804249517845,0.017483017675859244,0.027586388236177022,0.055172664119518725,0.03299085215872805,0.028152593637390196,0.016610540553864194,1.023601886142512e-08,0.025872377214416584,0.07731673238549701,0.026933074213740346,1.023601886142512e-08,1.023601886142512e-08,0.04561541600189233,0.12826810705037553,0.011009953984693097,0.04986338372691834,0.013156918046508785,1.023601886142512e-08,0.007935821539014804,0.07761394692162377,0.017820478969540927,0.01712405117011971,0.0058418904684097005,1.023601886142512e-08,0.0010884572717773007,0.08222462906916868
中证800增强,11.920553879671694,17.192329517221186,0.0659881040013018,0.4999248449341497,0.1860669692068171,0.026212860130738723,0.01297992339947727,0.013840596495182066,0.024377880825062873,2.356159370411931e-09,0.1497180367060024,0.007983844088506716,0.04722491830868018,0.05521873967690804,0.0024285723663943757,0.015784458652858005,0.005677189639185831,0.016527624983695,0.005149427050792094,0.07503434508497402,0.03668985080977783,2.356159370411931e-09,2.356159370411931e-09,0.033028420991151816,0.27351569415463955,0.006709518302832303,0.03145012180641151,0.013825782855260649,2.356159370411931e-09,2.356159370411931e-09,0.02743157931964868,0.02196691185503643,0.02037583705117818,0.04514192139678551,2.356159370411931e-09,0.015531570394661588,0.01617435951720249
养殖etf增强,14.13457236425637,23.819721154219582,0.19603878970912555,0.5018570385496043,0.09368673286961345,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,0.7251997450658446,3.577896368927746e-08,0.23329567009319171,3.577896368927746e-08,3.577896368927746e-08,0.021537851980690817,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,3.577896368927746e-08,0.019965731049289587
军工etf增强,5.619405299227958,69.82864137086904,0.17409046440244047,0.49427325609269585,0.2549439644194186,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,0.7806115680796198,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,0.12203697104519856,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,0.09734145683835806,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07,3.4496678701508533e-07
创业板300ETF增强,15.247959202419839,19.54392801879764,0.09896065425665485,0.4987236640577786,0.14822605930996183,0.012065433990822196,0.05309353506964368,1.4277944228465156e-07,0.001914815100479462,1.4277944228465156e-07,0.18195029693412273,0.02745477339803108,0.12113236548099098,0.03195218305055532,0.002543044646531929,0.0121760880585928,0.010161327348514082,1.4277944228465156e-07,0.05500455223695837,0.024258512803046868,1.4277944228465156e-07,1.4277944228465156e-07,0.03297519775452485,0.09557111876859471,0.11045597557237923,0.028529631317494166,0.03136450286611169,1.4277944228465156e-07,0.04567038903143196,0.004185293791689991,0.09149053941987628,0.009381037696428462,1.4277944228465156e-07,1.4277944228465156e-07,0.01080629064520231,1.4277944228465156e-07,0.00586181000299637
创业板增强,18.137319373068394,15.669704284852143,0.09933101226670187,0.49940805126617444,0.208572772636866,2.0475583897918983e-09,0.015966819983880602,2.0475583897918983e-09,0.013595314562391155,2.0475583897918983e-09,0.26304532828255867,2.0475583897918983e-09,0.020320905142174443,0.018093830425488344,0.0030815780313681496,2.0475583897918983e-09,2.0475583897918983e-09,2.0475583897918983e-09,2.0475583897918983e-09,0.04646882142883452,0.034901084984022286,2.0475583897918983e-09,2.0475583897918983e-09,0.0985335133428444,0.19165543588280556,2.0475583897918983e-09,0.012483635337653244,0.004670081483174213,2.0475583897918983e-09,0.0549437965308563,0.1103854578884785,2.0475583897918983e-09,0.08800185883820859,2.0475583897918983e-09,2.0475583897918983e-09,2.0475583897918983e-09,0.02385250509432681
动量趋势策略,170.34167023676872,0.5383743167859871,0.11229433729405484,0.4999496962818629,0.02854403234655389,0.005268054674787926,0.011121915149711293,0.007598076551511818,0.0023391960801180216,0.000846362705086715,0.02208238777459598,0.01335289647031714,0.009436734219925665,0.02580324651460953,0.0034714567863286094,0.006062412832296071,0.013399199768092172,0.008051747530874726,0.02197047045844906,0.03322396011351174,0.022296758974711176,0.00026863431796700544,0.0037634422503017126,0.028987823769774677,0.03820311230040352,0.0031994306504080396,0.005045959074919382,0.010428175519075902,0.0006698207261239328,0.0013445667694692593,0.029384850886863555,0.01346473390297483,0.014075550033036214,0.0014742684982568472,1.018186106558662e-10,0.6379942039717381,0.0053705506219406795
化工ETF优选策略,17.93394994578889,17.184698971289887,0.19954376662611986,0.5051588763442524,0.16368987479337943,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,0.6684142043230826,0.03050675424444473,2.3280667106130077e-08,2.3280667106130077e-08,0.11672396424945222,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,0.09175778704339595,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,0.09259666156161243,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08,2.3280667106130077e-08
