name,turnover,holding_period_days,concentration_hhi,buy_sell_symmetry,volatility_pref,realized_return_pref,max_drawdown_pref,market_state_exposure,trade_interval_days,ind_交通运输,ind_传媒,ind_公用事业,ind_农林牧渔,ind_医药生物,ind_商贸零售,ind_国防军工,ind_基础化工,ind_家用电器,ind_建筑材料,ind_建筑装饰,ind_房地产,ind_有色金属,ind_机械设备,ind_汽车,ind_煤炭,ind_环保,ind_电力设备,ind_电子,ind_石油石化,ind_社会服务,ind_纺织服饰,ind_综合,ind_美容护理,ind_计算机,ind_轻工制造,ind_通信,ind_钢铁,ind_银行,ind_非银金融,ind_食品饮料
A,5.9222799499552705,56.81303688731683,0.4731052203549767,0.5391222580576873,0.07264399319481075,0.016068467447108534,0.6936418174496368,0.3145721473868602,5.043956043956044,0.20197443475769267,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,0.057948943802100195,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,0.24171994969728164,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,0.15124881273911037,5.306193920163006e-07,0.2886781740325482,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,5.306193920163006e-07,0.028791938830196488,0.02962501127566208,5.306193920163006e-07,5.306193920163006e-07
B,89.19682191178757,3.0951226721844516,0.285692101676715,0.4992433919052586,0.12579357076187356,0.001678319684314639,0.9469764725208535,0.23213354068334124,1.6095890410958904,0.008469153323319375,7.203492489433431e-09,0.010818356293973404,0.002140164822103162,0.009176104076232372,0.012857160773257749,0.07377060640966329,7.203492489433431e-09,7.203492489433431e-09,0.030384799547442026,0.03179190095635799,7.203492489433431e-09,0.5057105146448047,0.01617033510884776,0.02070490481697615,0.001246211404164473,7.203492489433431e-09,0.057934779881547355,0.034638490676422426,0.0069326483753232235,0.003426132301316818,7.203492489433431e-09,0.000864224604434797,7.203492489433431e-09,0.05290275859257616,7.203492489433431e-09,0.0009876060237938129,0.00718188921545762,7.203492489433431e-09,0.11002260016530142,0.0018685931552515215
C,36.8557672918511,7.330548021361546,0.3841705055410158,0.4953901039986093,0.03589377370414447,0.009498595271666157,0.9990164306188049,0.2542004338586865,3.4461538461538463,6.44035893691803e-08,0.06282473537579485,0.0054911144332056815,0.007211269901667118,0.012528623450754752,6.44035893691803e-08,0.03052131182718013,0.26756432561272336,6.44035893691803e-08,6.44035893691803e-08,6.44035893691803e-08,6.44035893691803e-08,0.05608109993653734,0.04595672688052346,0.004382471045804612,6.44035893691803e-08,0.00570886296886288,0.18017638326946997,0.20366282018590623,0.06306895378668277,6.44035893691803e-08,6.44035893691803e-08,6.44035893691803e-08,6.44035893691803e-08,0.05482020646386753,6.44035893691803e-08,6.44035893691803e-08,6.44035893691803e-08,6.44035893691803e-08,6.44035893691803e-08,6.44035893691803e-08
