datetime,stock_code,action,volume,price,amount,strategy_name,source
2025-03-17 09:30:00,600758,SELL,400.0,3.850515083169937,1540.2060332679748,煤炭周期优选动态轮动策略,绩效1
2025-03-17 09:30:00,601225,BUY,100.0,18.96777412071228,1896.77741207122,煤炭周期优选动态轮动策略,绩效1
2025-03-24 09:30:00,600546,SELL,18900.0,10.233782580184936,193418.49076549528,煤炭周期优选动态轮动策略,绩效1
2025-03-24 09:30:00,601225,SELL,10200.0,18.831957939720155,192085.9709851456,煤炭周期优选动态轮动策略,绩效1
2025-03-24 09:30:00,601666,BUY,900.0,8.144009471797943,7329.60852461814,煤炭周期优选动态轮动策略,绩效1
2025-03-24 09:30:00,601101,BUY,100.0,7.084939322900772,708.493932290077,煤炭周期优选动态轮动策略,绩效1
2025-03-24 09:30:00,600508,BUY,16100.0,11.977011447048188,192829.884297475,煤炭周期优选动态轮动策略,绩效1
2025-03-24 09:30:00,600758,SELL,4600.0,4.257399115276336,19584.035930271148,煤炭周期优选动态轮动策略,绩效1
2025-03-24 09:30:00,601918,BUY,28800.0,6.783620112419128,195368.25923767,煤炭周期优选动态轮动策略,绩效1
2025-03-31 09:30:00,601918,SELL,28800.0,6.627240194320679,190864.5175964356,煤炭周期优选动态轮动策略,绩效1
2025-03-31 09:30:00,601666,SELL,100.0,8.021132315826415,802.1132315826416,煤炭周期优选动态轮动策略,绩效1
2025-03-31 09:30:00,601101,BUY,700.0,6.774855922794342,4742.39914595603,煤炭周期优选动态轮动策略,绩效1
2025-03-31 09:30:00,600508,BUY,100.0,11.615845573329926,1161.58455733299,煤炭周期优选动态轮动策略,绩效1
2025-03-31 09:30:00,600758,BUY,5300.0,3.712321258711815,19675.3026711726,煤炭周期优选动态轮动策略,绩效1
2025-04-07 09:30:00,601666,BUY,1200.0,7.556298023271561,9067.55762792587,煤炭周期优选动态轮动策略,绩效1
2025-04-07 09:30:00,601101,BUY,1700.0,6.2392570191383365,10606.7369325351,煤炭周期优选动态轮动策略,绩效1
2025-04-07 09:30:00,600508,BUY,800.0,10.678768766498566,8543.01501319885,煤炭周期优选动态轮动策略,绩效1
2025-04-07 09:30:00,600758,BUY,2600.0,3.3252073654174805,8645.53915008545,煤炭周期优选动态轮动策略,绩效1
2025-04-14 09:30:00,601666,SELL,2300.0,7.9651701048374175,18319.89124112606,煤炭周期优选动态轮动策略,绩效1
2025-04-14 09:30:00,601101,SELL,2400.0,6.604398640966416,15850.556738319396,煤炭周期优选动态轮动策略,绩效1
2025-04-14 09:30:00,600508,SELL,1100.0,11.398819568252565,12538.70152507782,煤炭周期优选动态轮动策略,绩效1
