product_id,product_name,symbol,name,side,price,qty,amount,trade_time,trade_date
GZ2000_综合_v10,,513500.XSHG,标普500,SELL,1.288,12200.0,-15713.6,2023-03-03 09:34:00,2023-03-03
GZ2000_综合_v10,,513030.XSHG,德国ETF,BUY,1.121,14100.0,15806.1,2023-03-03 09:34:00,2023-03-03
GZ2000_综合_v10,,601966.XSHG,玲珑轮胎,SELL,21.09,400.0,-8436.0,2023-03-07 14:00:00,2023-03-07
GZ2000_综合_v10,,159941.XSHE,纳指ETF,SELL,0.65,24900.0,-16185.0,2023-03-08 09:34:00,2023-03-08
GZ2000_综合_v10,,513500.XSHG,标普500,BUY,1.31,12100.0,15851.0,2023-03-08 09:34:00,2023-03-08
GZ2000_综合_v10,,000157.XSHE,中联重科,BUY,6.65,1500.0,9975.0,2023-03-08 09:34:00,2023-03-08
GZ2000_综合_v10,,002414.XSHE,高德红外,SELL,12.09,800.0,-9672.0,2023-03-09 09:34:00,2023-03-09
GZ2000_综合_v10,,002600.XSHE,领益智造,SELL,5.77,1800.0,-10386.0,2023-03-09 09:34:00,2023-03-09
GZ2000_综合_v10,,000157.XSHE,中联重科,SELL,6.6,1500.0,-9900.0,2023-03-09 09:34:00,2023-03-09
GZ2000_综合_v10,,513500.XSHG,标普500,SELL,1.278,12100.0,-15463.8,2023-03-10 09:34:00,2023-03-10
GZ2000_综合_v10,,159941.XSHE,纳指ETF,BUY,0.641,24600.0,15768.6,2023-03-10 09:34:00,2023-03-10
GZ2000_综合_v10,,601216.XSHG,君正集团,SELL,4.42,2400.0,-10608.0,2023-03-10 09:34:00,2023-03-10
GZ2000_综合_v10,,159941.XSHE,纳指ETF,SELL,0.634,24600.0,-15596.4,2023-03-13 09:34:00,2023-03-13
GZ2000_综合_v10,,510500.XSHG,500ETF,SELL,6.22,2400.0,-14928.0,2023-03-13 09:34:00,2023-03-13
GZ2000_综合_v10,,513520.XSHG,日经ETF,BUY,1.064,14700.0,15640.8,2023-03-13 09:34:00,2023-03-13
GZ2000_综合_v10,,159981.XSHE,能源化工ETF,BUY,1.532,10200.0,15626.4,2023-03-13 09:34:00,2023-03-13
GZ2000_综合_v10,,000800.XSHE,一汽解放,SELL,8.29,1200.0,-9948.0,2023-03-13 09:34:00,2023-03-13
GZ2000_综合_v10,,513520.XSHG,日经ETF,SELL,1.054,14700.0,-15493.8,2023-03-15 09:34:00,2023-03-15
GZ2000_综合_v10,,518880.XSHG,黄金ETF,BUY,4.141,3700.0,15321.7,2023-03-15 09:34:00,2023-03-15
GZ2000_综合_v10,,513030.XSHG,德国ETF,SELL,1.085,14100.0,-15298.5,2023-03-20 09:34:00,2023-03-20
