epoch,train_loss,val_loss,val_acc
1,0.2061000828232084,0.18005657196044922,0.625
2,0.193118012377194,0.15063603967428207,0.68
3,0.18282941835267202,0.12320480868220329,0.715
4,0.14956087725503103,0.11772385984659195,0.73
5,0.1315071763736861,0.13844770565629005,0.74
6,0.11728510579892568,0.0987873300909996,0.835
7,0.11529331973620824,0.10839352011680603,0.79
8,0.11090096405574254,0.11760154366493225,0.815
9,0.11345718801021576,0.09951051697134972,0.825
10,0.096065953373909,0.09075941145420074,0.865
11,0.10173346953732627,0.10776321962475777,0.825
12,0.09669764872108187,0.10370993241667747,0.82
13,0.09927772411278316,0.08571857959032059,0.815
14,0.08061565990958895,0.09760360047221184,0.82
15,0.09048002319676536,0.10371460393071175,0.875
16,0.09293181874922343,0.0906221903860569,0.845
17,0.08220031218869346,0.09149091690778732,0.84
18,0.07324294266956193,0.09361312538385391,0.82
19,0.07572162789957863,0.09836476296186447,0.79
20,0.07410364065851484,0.07101656123995781,0.88
21,0.07909964344331197,0.07442988455295563,0.86
22,0.06651636213064194,0.10011867806315422,0.81
23,0.07680294503058706,0.07810959964990616,0.82
24,0.07966600890670504,0.08300680294632912,0.83
25,0.06766107199447495,0.09160778298974037,0.855
26,0.06793534276740891,0.08633508905768394,0.835
27,0.07032093725034169,0.08978310227394104,0.84
28,0.0654502244932311,0.08690973371267319,0.845
29,0.07577533115233694,0.08305482193827629,0.845
30,0.0681059653205531,0.07258975878357887,0.85
31,0.05581750614302499,0.0660158321261406,0.87
32,0.06136436600770269,0.08658671006560326,0.845
33,0.062074972582714896,0.06690562516450882,0.875
34,0.06680345588496753,0.08848681673407555,0.85
35,0.06882777703659874,0.08561057969927788,0.865
36,0.06526907107659749,0.08892863243818283,0.83
37,0.07245154838476862,0.09614695981144905,0.83
38,0.06484092452696391,0.08201692998409271,0.85
39,0.06053652720791953,0.0797596424818039,0.875
40,0.06231728781546865,0.07625478878617287,0.85
41,0.07024305686354637,0.08884312584996223,0.85
42,0.06733714469841548,0.09158666059374809,0.83
43,0.06446208645190511,0.09891947358846664,0.81
44,0.07205140218138695,0.07889536395668983,0.82
45,0.06910298977579389,0.08114110678434372,0.845
46,0.06415126685585294,0.08617467433214188,0.865
47,0.06087210242237363,0.0960540622472763,0.85
48,0.061436280075992854,0.09649896621704102,0.81
49,0.06872833520174026,0.07847209647297859,0.87
50,0.05933881284935134,0.08206005394458771,0.83
51,0.05750370078853199,0.0872543640434742,0.85
52,0.056993304086583,0.09357116371393204,0.85
53,0.05781589927417891,0.08613395318388939,0.84
54,0.06393292333398547,0.08755991235375404,0.795
55,0.05590257687228067,0.0937865562736988,0.845
56,0.05849460778491838,0.08618676662445068,0.85
57,0.055773003825119565,0.08839845657348633,0.795
58,0.05253198742866516,0.07108567655086517,0.85
59,0.06084831750818661,0.08574839308857918,0.825
60,0.06346390077045985,0.07978714257478714,0.855
61,0.05771056190133095,0.07816736772656441,0.87
