,etf动量改,中证1000增强,中证2000增强,中证800增强,养殖etf增强,军工etf增强,创业板300ETF增强,创业板增强,动量趋势策略,化工ETF优选策略,医疗etf增强,半导体优选策略,双创50增强,国企etf增强,国证2000ETF增强,均衡持仓,形态识别,成长红利量化选股,房地产etf增强,旅游etf增强,朝花夕拾策略,机器人ETF优选策略,杠铃,沪深300增强策略,游戏etf增强,煤炭周期优选动态轮动策略,申万动量,科创参数加强板,综合全,综合拆分1,综合拆分2,行业etf增强,计算机ETF优选策略,通信etf增强,酒etf增强,锤子策略,食品etf增强
Account_A,0.22194259,-0.11328104,0.46841192,-0.04369866,0.24979933,0.4645083,-0.0013321694,-0.13055319,0.39711505,0.79711527,-0.25200275,-0.11822629,0.94201905,0.84126484,0.16032147,0.6027161,0.9100967,0.9825504,0.66047275,0.94581443,0.4141264,-0.011919309,0.92789423,0.17810914,-0.13979103,0.95993525,0.6059833,-0.21220766,0.3931608,0.39488313,0.39659542,0.41595033,-0.24392644,-0.2537831,0.92973405,0.70933926,0.79337263
Account_B,0.53953546,0.5260074,0.8649244,0.5833133,0.68338776,0.3243458,0.34196952,0.48910007,0.99988085,0.7028952,0.1685806,0.5805819,0.6387702,0.80861956,0.66578865,0.6976198,0.1592327,0.3527819,0.035005298,0.16315718,0.99943197,0.6075068,0.64778477,0.84051675,0.34716365,0.33346957,0.81341153,0.53691363,0.999444,0.9995068,0.99943155,0.99905837,0.4560756,0.44019192,0.6120713,0.9172754,0.8491926
Account_C,0.5392453,0.5236362,0.86446947,0.58099663,0.6832417,0.3253454,0.3415222,0.48665023,0.9995196,0.7030426,0.16799599,0.57782936,0.64052236,0.81050146,0.6656418,0.6961656,0.1633618,0.35458744,0.0373902,0.16524288,0.9998096,0.60478806,0.64839613,0.83753765,0.34586853,0.3350476,0.8122076,0.53408885,0.9998778,0.99990416,0.9999153,0.9996809,0.4526284,0.43633485,0.61439353,0.91879964,0.85045344
