account,rank,strategy,phase1_rank,phase2_rank,phase1_similarity,phase2_similarity
Account_A,1,国企etf增强,4,4,0.185792095058182,0.9495307803153992
Account_A,2,成长红利量化选股,3,5,0.19996357347045554,0.9435893893241882
Account_A,3,杠铃,2,7,0.28597919444878644,0.878292977809906
Account_A,4,锤子策略,8,2,0.06496758492785691,0.9866307377815247
Account_A,5,申万动量,10,1,0.01987863593256644,0.9923107028007507
Account_B,1,动量趋势策略,3,1,0.38569683497507257,0.9969868063926697
Account_B,2,行业etf增强,1,3,0.4185753065740718,0.9920415282249451
Account_B,3,综合拆分1,4,2,0.36039583136055864,0.9930806756019592
Account_B,4,综合全,2,6,0.39302891136996887,0.9884634017944336
Account_B,5,朝花夕拾策略,5,4,0.35094380322687185,0.9917930960655212
Account_C,1,综合拆分1,3,2,0.5080460614423559,0.9994443655014038
Account_C,2,综合全,2,6,0.5291464798149926,0.9894970655441284
Account_C,3,行业etf增强,6,4,0.3002622855860758,0.9950618147850037
Account_C,4,朝花夕拾策略,9,1,0.13660905335160023,0.9997029304504395
Account_C,5,动量趋势策略,10,3,0.11900635325492867,0.9971175789833069
