,etf动量改,中证1000增强,中证2000增强,中证800增强,养殖etf增强,军工etf增强,创业板300ETF增强,创业板增强,动量趋势策略,化工ETF优选策略,医疗etf增强,半导体优选策略,双创50增强,国企etf增强,国证2000ETF增强,均衡持仓,形态识别,成长红利量化选股,房地产etf增强,旅游etf增强,朝花夕拾策略,机器人ETF优选策略,杠铃,沪深300增强策略,游戏etf增强,煤炭周期优选动态轮动策略,申万动量,科创参数加强板,综合全,综合拆分1,综合拆分2,行业etf增强,计算机ETF优选策略,通信etf增强,酒etf增强,锤子策略,食品etf增强
Account_A,-0.16451242704278726,-0.11869156372806611,-0.1987347565638393,-0.059567534926052844,-0.09239303090297575,-0.11010253868065674,-0.11429958562019535,-0.2921424816776021,-0.12978751680356115,0.10926624020543287,-0.1523723578354192,-0.020172489735206977,-0.16126494651746182,0.185792095058182,-0.018998848533331884,0.011798984774075275,-0.05681972528725627,0.19996357347045554,0.052259348153915114,0.09318296711901163,-0.2533785826544696,-0.11827861315973437,0.28597919444878644,0.16893458768934325,-0.09593025589817313,0.2955240123519652,0.01987863593256644,-0.22861855093587025,-0.2288085839681848,-0.20670014245866067,-0.15938889342927706,-0.13480530819891784,-0.0366523677210843,-0.16179886753561395,-0.139071428495766,0.06496758492785691,0.017723339536522876
Account_B,0.2979259628515505,0.08289856511790492,0.05284076101182798,-0.14936693659315645,-0.10498870648250969,-0.15644197995490616,0.03165126359642878,-0.19870123418963578,0.38569683497507257,-0.0316916437816326,-0.09915948060432678,-0.30457661679896053,-0.23564950389481606,0.03374622465781454,0.15083179227836668,-0.14190022003110783,0.031054887150127983,-0.24208290510473218,-0.18432065875486336,-0.11809020790030139,0.35094380322687185,-0.12342730915036468,-0.09135371416722243,0.16576738190584692,-0.12001792139445312,-0.18799253263131788,0.017913859880215967,-0.1426680784452594,0.39302891136996887,0.36039583136055864,0.2759819016843238,0.4185753065740718,-0.20736193872840486,-0.12434971049722676,-0.07266166730265099,0.0018526430247973859,-0.16217012935580533
Account_C,0.5303766768998773,0.1873000726879561,-0.12425975553759752,-0.28786638366770395,-0.007701517481004387,-0.2707410307296625,0.2053447235596031,-0.020919848008039255,0.11900635325492867,0.43748150306254385,-0.08744952365315926,-0.11083067551272724,-0.12897320618581373,-0.18587721469742688,0.11568877429248538,-0.22501929581254113,-0.11353911309168595,-0.4091719023341475,-0.16786232943970153,-0.1477985015050448,0.13660905335160023,0.03650237352268808,-0.25872304595778045,-0.1627431287380407,0.00084710249381258,-0.16508772628755394,-0.16563664211550938,-0.03262560204243932,0.5291464798149926,0.5080460614423559,0.361522748511763,0.3002622855860758,-0.1487353137032041,-0.10209742711711521,0.021384352507551725,-0.08274693531083739,-0.003426648612902816
