,etf动量改,中证1000增强,中证2000增强,中证800增强,养殖etf增强,军工etf增强,创业板300ETF增强,创业板增强,动量趋势策略,化工ETF优选策略,医疗etf增强,半导体优选策略,双创50增强,国企etf增强,国证2000ETF增强,均衡持仓,形态识别,成长红利量化选股,房地产etf增强,旅游etf增强,朝花夕拾策略,机器人ETF优选策略,杠铃,沪深300增强策略,游戏etf增强,煤炭周期优选动态轮动策略,申万动量,科创参数加强板,综合全,综合拆分1,综合拆分2,行业etf增强,计算机ETF优选策略,通信etf增强,酒etf增强,锤子策略,食品etf增强
Account_A,0.39442864,0.35994908,0.6505121,0.52419156,0.48040897,0.414215,0.2394475,0.2516645,0.2411337,0.09579521,0.009280755,0.29143742,0.30932024,0.9495308,0.29216677,0.64600503,0.512729,0.9435894,0.04852745,0.87844735,0.28673175,0.33432075,0.878293,0.4155998,0.45856422,-0.4144727,0.9923107,0.23342274,0.1638135,0.27787238,0.108347006,0.21384437,0.19732542,0.21769255,0.96789515,0.98663074,0.4638849
Account_B,0.64571834,0.18803798,0.4419447,0.5908987,-0.29313555,0.9698468,0.68655163,-0.15872602,0.9969868,0.97525847,-0.44212765,0.9781838,0.98848814,0.18360308,0.8119484,0.400753,0.45336008,0.5305643,-0.37908676,0.013729076,0.9917931,-0.23541753,0.6649593,0.9745971,0.7979527,-0.70901644,0.2828277,0.7113324,0.9884634,0.9930807,0.9811215,0.9920415,-0.1646601,-0.19300358,0.22818375,0.28089947,0.02462396
Account_C,0.6587846,0.17754553,0.47873467,0.6022941,-0.30447316,0.9744069,0.6835099,-0.16900656,0.9971176,0.97269446,-0.46341395,0.9845425,0.993884,0.21509834,0.8302864,0.38570902,0.50308,0.56886685,-0.39856237,0.04141023,0.99970293,-0.22691497,0.69605494,0.9821709,0.8171693,-0.7078505,0.32056934,0.7184298,0.98949707,0.99944437,0.97997946,0.9950618,-0.18875976,-0.20935552,0.27305406,0.3228798,0.022390528
